Date,DayOfWeek,Interval,Queue,Team,Forecast_Calls,Actual_Calls,Scheduled_Agents,Available_Agents,AHT,ACW,Occupancy,Adherence,SLA,ASA,Abandon_Rate,CSAT
2026-01-01,Thursday,00:00,General Support,Alpha,6,7,4,3,356,55,66.7,93.1,86,14,1.3,4.59
2026-01-01,Thursday,00:00,Technical Support,Delta,6,7,4,4,374,50,50.0,93.7,94,2,0,4.86
2026-01-01,Thursday,00:00,Billing,Bravo,10,8,4,4,322,39,57.1,93.1,94,2,0,4.86
2026-01-01,Thursday,00:00,Sales,Alpha,9,10,4,4,359,41,71.4,90.9,82,20,3.3,4.46
2026-01-01,Thursday,00:00,VIP,Charlie,4,7,4,3,351,33,66.7,95.2,93,4,0,4.81
2026-01-01,Thursday,00:00,Complaints,Alpha,1,3,3,3,296,60,28.6,90.3,94,2,0,4.86
2026-01-01,Thursday,00:15,General Support,Alpha,6,5,3,2,363,39,71.4,94.5,87,12,0.7,4.63
2026-01-01,Thursday,00:15,Technical Support,Bravo,5,6,3,2,373,42,85.7,93.1,62,48,12.7,3.83
2026-01-01,Thursday,00:15,Billing,Bravo,1,5,3,3,347,42,47.6,93.1,94,2,0,4.86
2026-01-01,Thursday,00:15,Sales,Delta,9,11,5,3,380,30,99,91.3,51,64,18.0,3.48
2026-01-01,Thursday,00:15,VIP,Delta,9,9,4,2,331,30,99,90.8,58,54,14.7,3.7
2026-01-01,Thursday,00:15,Complaints,Bravo,6,1,3,3,339,48,9.5,91.7,94,2,0,4.86
2026-01-01,Thursday,00:30,General Support,Alpha,5,8,4,4,366,39,57.1,90.0,94,2,0,4.86
2026-01-01,Thursday,00:30,Technical Support,Bravo,6,7,4,2,288,41,99,93.0,53,61,17.0,3.54
2026-01-01,Thursday,00:30,Billing,Charlie,1,0,3,2,375,52,0.0,92.7,94,2,0,4.86
2026-01-01,Thursday,00:30,Sales,Alpha,7,9,4,4,381,31,64.3,95.9,92,5,0,4.79
2026-01-01,Thursday,00:30,VIP,Alpha,3,5,3,3,313,48,47.6,98.6,94,2,0,4.86
2026-01-01,Thursday,00:30,Complaints,Bravo,10,8,4,4,357,57,57.1,96.0,94,2,0,4.86
2026-01-01,Thursday,00:45,General Support,Bravo,11,10,4,2,371,28,99,94.9,59,52,14.0,3.74
2026-01-01,Thursday,00:45,Technical Support,Bravo,5,7,4,2,313,40,99,91.1,55,58,16.0,3.61
2026-01-01,Thursday,00:45,Billing,Bravo,8,8,4,2,360,55,99,93.3,53,61,17.0,3.54
2026-01-01,Thursday,00:45,Sales,Bravo,8,8,4,3,349,42,76.2,95.0,80,22,4.0,4.41
2026-01-01,Thursday,00:45,VIP,Alpha,1,6,3,2,348,46,85.7,87.8,70,36,8.7,4.1
2026-01-01,Thursday,00:45,Complaints,Alpha,4,6,3,2,349,34,85.7,88.3,76,28,6.0,4.28
2026-01-01,Thursday,01:00,General Support,Charlie,13,12,5,5,359,37,68.6,93.0,86,14,1.3,4.59
2026-01-01,Thursday,01:00,Technical Support,Alpha,2,2,3,3,360,42,19.0,87.4,94,2,0,4.86
2026-01-01,Thursday,01:00,Billing,Alpha,13,14,6,6,369,46,66.7,94.7,86,14,1.3,4.59
2026-01-01,Thursday,01:00,Sales,Delta,8,8,4,3,392,36,76.2,92.5,78,25,5.0,4.34
2026-01-01,Thursday,01:00,VIP,Delta,10,9,4,4,322,44,64.3,89.7,92,5,0,4.79
2026-01-01,Thursday,01:00,Complaints,Alpha,1,2,3,3,352,46,19.0,96.3,94,2,0,4.86
2026-01-01,Thursday,01:15,General Support,Alpha,5,7,4,4,326,42,50.0,96.6,94,2,0,4.86
2026-01-01,Thursday,01:15,Technical Support,Charlie,5,4,3,2,361,41,57.1,92.1,94,2,0,4.86
2026-01-01,Thursday,01:15,Billing,Alpha,5,4,3,2,358,46,57.1,86.3,94,2,0,4.86
2026-01-01,Thursday,01:15,Sales,Charlie,9,9,4,3,360,50,85.7,94.9,68,40,10.0,4.01
2026-01-01,Thursday,01:15,VIP,Charlie,14,11,5,3,421,48,99,90.2,58,54,14.7,3.7
2026-01-01,Thursday,01:15,Complaints,Charlie,8,9,4,4,402,44,64.3,92.4,93,4,0,4.81
2026-01-01,Thursday,01:30,General Support,Alpha,2,4,3,3,285,38,38.1,90.8,94,2,0,4.86
2026-01-01,Thursday,01:30,Technical Support,Bravo,11,10,4,3,347,60,95.2,95.6,53,61,17.0,3.54
2026-01-01,Thursday,01:30,Billing,Bravo,4,7,4,3,334,56,66.7,91.6,90,8,0,4.72
2026-01-01,Thursday,01:30,Sales,Alpha,0,2,3,2,329,52,28.6,90.0,94,2,0,4.86
2026-01-01,Thursday,01:30,VIP,Bravo,8,9,4,4,315,29,64.3,91.6,93,3,0,4.83
2026-01-01,Thursday,01:30,Complaints,Charlie,8,9,4,4,331,46,64.3,98.4,91,6,0,4.77
2026-01-01,Thursday,01:45,General Support,Alpha,5,8,4,2,298,43,99,96.6,50,65,18.3,3.46
2026-01-01,Thursday,01:45,Technical Support,Bravo,7,7,4,3,394,38,66.7,94.0,88,11,0.3,4.66
2026-01-01,Thursday,01:45,Billing,Delta,10,8,4,3,392,51,76.2,90.2,79,24,4.7,4.37
